,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
271,823,Less Than High School,Manufacturing,31727730,5207,2007,Female,Oklahoma,6093.28
272,824,High School Gradute,Manufacturing,90540359,12319,2007,Female,Oklahoma,7349.65
273,825,Some College,Manufacturing,94446508,11121,2007,Female,Oklahoma,8492.63
274,826,Advanced Degree,Manufacturing,62242787,5174,2007,Female,Oklahoma,12029.92
275,827,Unavalble,Manufacturing,16917630,3373,2007,Female,Oklahoma,5015.6
276,840,All Education Categories,Retail Trade,589698883,79389,2007,Male,Oklahoma,7427.97
277,841,Less Than High School,Retail Trade,55048645,8577,2007,Male,Oklahoma,6418.17
278,842,High School Gradute,Retail Trade,175444166,22124,2007,Male,Oklahoma,7930.04
279,843,Some College,Retail Trade,169972515,18218,2007,Male,Oklahoma,9329.92
280,844,Advanced Degree,Retail Trade,114887990,8271,2007,Male,Oklahoma,13890.46
281,845,Unavalble,Retail Trade,74345566,22199,2007,Male,Oklahoma,3349.05
282,846,All Education Categories,Retail Trade,370896649,86168,2007,Female,Oklahoma,4304.34
283,847,Less Than High School,Retail Trade,36818587,9079,2007,Female,Oklahoma,4055.36
284,848,High School Gradute,Retail Trade,117811341,25261,2007,Female,Oklahoma,4663.76
285,849,Some College,Retail Trade,102283626,19785,2007,Female,Oklahoma,5169.76
286,850,Advanced Degree,Retail Trade,53065646,7504,2007,Female,Oklahoma,7071.65
287,851,Unavalble,Retail Trade,60917449,24539,2007,Female,Oklahoma,2482.47
288,876,All Education Categories,Finance and Insurance,322952293,16854,2007,Male,Oklahoma,19161.76
289,877,Less Than High School,Finance and Insurance,7541799,810,2007,Male,Oklahoma,9310.86
290,878,High School Gradute,Finance and Insurance,35802160,2873,2007,Male,Oklahoma,12461.59
291,879,Some College,Finance and Insurance,69364929,4277,2007,Male,Oklahoma,16218.13
292,880,Advanced Degree,Finance and Insurance,200198281,7167,2007,Male,Oklahoma,27933.34
293,881,Unavalble,Finance and Insurance,10045123,1728,2007,Male,Oklahoma,5813.15
294,882,All Education Categories,Finance and Insurance,321005672,37884,2007,Female,Oklahoma,8473.38
295,883,Less Than High School,Finance and Insurance,9524303,1577,2007,Female,Oklahoma,6039.51
296,884,High School Gradute,Finance and Insurance,62537218,8808,2007,Female,Oklahoma,7100.05
297,885,Some College,Finance and Insurance,98365268,11784,2007,Female,Oklahoma,8347.36
298,886,Advanced Degree,Finance and Insurance,124964169,10412,2007,Female,Oklahoma,12001.94
299,887,Unavalble,Finance and Insurance,25614714,5302,2007,Female,Oklahoma,4831.14
300,936,All Education Categories,Educational Services,473659414,48287,2007,Male,Oklahoma,9809.25
301,937,Less Than High School,Educational Services,19555944,3090,2007,Male,Oklahoma,6328.78
302,938,High School Gradute,Educational Services,81295770,10412,2007,Male,Oklahoma,7807.89
303,939,Some College,Educational Services,118287651,12886,2007,Male,Oklahoma,9179.55
304,940,Advanced Degree,Educational Services,245402538,19051,2007,Male,Oklahoma,12881.35
305,941,Unavalble,Educational Services,9117512,2848,2007,Male,Oklahoma,3201.37
306,942,All Education Categories,Educational Services,750471448,107428,2007,Female,Oklahoma,6985.81
307,943,Less Than High School,Educational Services,22666199,5203,2007,Female,Oklahoma,4356.37
308,944,High School Gradute,Educational Services,142867560,25417,2007,Female,Oklahoma,5620.95
309,945,Some College,Educational Services,217588790,32536,2007,Female,Oklahoma,6687.63
310,946,Advanced Degree,Educational Services,348162718,39020,2007,Female,Oklahoma,8922.67
311,947,Unavalble,Educational Services,19186180,5252,2007,Female,Oklahoma,3653.12
312,948,All Education Categories,Health Care and Social Assistance,518223055,36689,2007,Male,Oklahoma,14124.75
313,949,Less Than High School,Health Care and Social Assistance,20131881,3028,2007,Male,Oklahoma,6648.57
