,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
32,92,High School Gradute,Retail Trade,254416161,59972,2004,Female,Indiana,4242.25
33,93,Some College,Retail Trade,192926863,40775,2004,Female,Indiana,4731.5
34,94,Advanced Degree,Retail Trade,98064472,15526,2004,Female,Indiana,6316.15
35,95,Unavalble,Retail Trade,105403267,47174,2004,Female,Indiana,2234.35
36,120,All Education Categories,Finance and Insurance,710552935,31535,2004,Male,Indiana,22532.2
37,121,Less Than High School,Finance and Insurance,10422000,1039,2004,Male,Indiana,10030.8
38,122,High School Gradute,Finance and Insurance,64930041,4794,2004,Male,Indiana,13544.02
39,123,Some College,Finance and Insurance,138140222,7657,2004,Male,Indiana,18041.04
40,124,Advanced Degree,Finance and Insurance,482685948,15802,2004,Male,Indiana,30545.88
41,125,Unavalble,Finance and Insurance,14374724,2244,2004,Male,Indiana,6405.85
42,126,All Education Categories,Finance and Insurance,649340473,71193,2004,Female,Indiana,9120.85
43,127,Less Than High School,Finance and Insurance,13427518,2137,2004,Female,Indiana,6283.35
44,128,High School Gradute,Finance and Insurance,125161944,17130,2004,Female,Indiana,7306.59
45,129,Some College,Finance and Insurance,189234626,21790,2004,Female,Indiana,8684.47
46,130,Advanced Degree,Finance and Insurance,284155597,22588,2004,Female,Indiana,12579.94
47,131,Unavalble,Finance and Insurance,37360788,7549,2004,Female,Indiana,4949.1
48,180,All Education Categories,Educational Services,856544748,80132,2004,Male,Indiana,10689.17
49,181,Less Than High School,Educational Services,24122912,3700,2004,Male,Indiana,6519.71
50,182,High School Gradute,Educational Services,123631110,15062,2004,Male,Indiana,8208.15
51,183,Some College,Educational Services,190895358,19411,2004,Male,Indiana,9834.39
52,184,Advanced Degree,Educational Services,500928315,35553,2004,Male,Indiana,14089.62
53,185,Unavalble,Educational Services,16967053,6405,2004,Male,Indiana,2649.03
54,186,All Education Categories,Educational Services,1239589978,169159,2004,Female,Indiana,7327.96
55,187,Less Than High School,Educational Services,27750051,6621,2004,Female,Indiana,4191.22
56,188,High School Gradute,Educational Services,219016203,41126,2004,Female,Indiana,5325.49
57,189,Some College,Educational Services,322721163,47197,2004,Female,Indiana,6837.75
58,190,Advanced Degree,Educational Services,635508616,62256,2004,Female,Indiana,10207.99
59,191,Unavalble,Educational Services,34593945,11959,2004,Female,Indiana,2892.71
60,192,All Education Categories,Health Care and Social Assistance,832077573,57553,2004,Male,Indiana,14457.59
61,193,Less Than High School,Health Care and Social Assistance,27235317,4093,2004,Male,Indiana,6654.12
62,194,High School Gradute,Health Care and Social Assistance,106839757,12358,2004,Male,Indiana,8645.39
63,195,Some College,Health Care and Social Assistance,190436111,15731,2004,Male,Indiana,12105.79
64,196,Advanced Degree,Health Care and Social Assistance,485723605,19560,2004,Male,Indiana,24832.5
65,197,Unavalble,Health Care and Social Assistance,21842784,5810,2004,Male,Indiana,3759.52
66,198,All Education Categories,Health Care and Social Assistance,1893243221,273554,2004,Female,Indiana,6920.91
67,199,Less Than High School,Health Care and Social Assistance,77523864,15654,2004,Female,Indiana,4952.34
68,200,High School Gradute,Health Care and Social Assistance,387869164,66704,2004,Female,Indiana,5814.78
69,201,Some College,Health Care and Social Assistance,706406548,99731,2004,Female,Indiana,7083.12
70,202,Advanced Degree,Health Care and Social Assistance,598315626,60608,2004,Female,Indiana,9871.89
71,203,Unavalble,Health Care and Social Assistance,123128019,30858,2004,Female,Indiana,3990.15
72,216,All Education Categories,Accommodation and Food Services,310306529,89229,2004,Male,Indiana,3477.64
73,217,Less Than High School,Accommodation and Food Services,39444348,10130,2004,Male,Indiana,3893.82
74,218,High School Gradute,Accommodation and Food Services,83227985,18677,2004,Male,Indiana,4456.18
75,219,Some College,Accommodation and Food Services,65718407,13339,2004,Male,Indiana,4926.79
